VendorID;tpep_pickup_datetime;tpep_dropoff_datetime;passenger_count;trip_distance;RatecodeID;store_and_fwd_flag;PULocationID;DOLocationID;payment_type;fare_amount;extra;mta_tax;tip_amount;tolls_amount;improvement_surcharge;total_amount;congestion_surcharge;Airport_fee
1;2023-08-01T00:26:44.000;2023-08-01T00:45:25.000;1;4.3;1;N;263;90;1;21.9;3.5;0.5;5.35;0.0;1.0;32.25;2.5;0.0
1;2023-08-01T00:55:42.000;2023-08-01T01:00:53.000;1;0.0;1;N;132;132;3;5.1;2.75;0.5;0.0;0.0;1.0;9.35;0.0;1.75
2;2023-08-01T00:32:04.000;2023-08-01T01:09:03.000;1;20.61;2;N;132;13;1;70.0;0.0;0.5;14.8;0.0;1.0;90.55;2.5;1.75
2;2023-08-01T00:13:37.000;2023-08-01T00:41:15.000;1;13.37;1;N;138;254;2;54.1;6.0;0.5;0.0;6.55;1.0;69.9;0.0;1.75
1;2023-08-01T00:24:46.000;2023-08-01T00:41:31.000;2;3.2;5;N;140;143;4;20.0;0.0;0.0;0.0;0.0;1.0;21.0;0.0;0.0
1;2023-08-01T00:44:01.000;2023-08-01T00:44:32.000;1;0.0;5;N;143;143;1;18.0;0.0;0.0;0.0;0.0;1.0;19.0;0.0;0.0
1;2023-08-01T00:03:46.000;2023-08-01T00:09:37.000;2;1.2;1;N;50;142;1;7.9;3.5;0.5;2.6;0.0;1.0;15.5;2.5;0.0
1;2023-08-01T00:10:19.000;2023-08-01T00:23:11.000;1;2.4;1;N;142;41;1;13.5;3.5;0.5;2.0;0.0;1.0;20.5;2.5;0.0
1;2023-08-01T00:48:55.000;2023-08-01T00:56:00.000;1;1.2;1;N;230;229;1;9.3;3.5;0.5;3.0;0.0;1.0;17.3;2.5;0.0
2;2023-08-01T00:11:29.000;2023-08-01T00:43:06.000;1;11.05;1;N;132;37;1;46.4;1.0;0.5;9.78;0.0;1.0;60.43;0.0;1.75
1;2023-08-01T00:29:31.000;2023-08-01T00:56:19.000;1;9.7;1;N;132;177;2;38.7;1.0;0.5;0.0;0.0;1.0;41.2;0.0;0.0
1;2023-08-01T00:38:43.000;2023-08-01T00:47:14.000;1;1.8;1;N;230;162;4;10.7;3.5;0.5;0.0;0.0;1.0;15.7;2.5;0.0
2;2023-08-01T00:22:13.000;2023-08-01T01:23:36.000;1;24.52;1;N;132;265;1;98.2;1.0;0.0;23.9;19.3;1.0;145.15;0.0;1.75
1;2023-08-01T00:22:12.000;2023-08-01T00:41:49.000;1;11.1;1;N;138;63;1;42.9;7.75;0.5;5.0;0.0;1.0;57.15;0.0;1.75
2;2023-08-01T00:04:32.000;2023-08-01T00:15:25.000;1;3.31;1;N;87;256;1;16.3;1.0;0.5;4.26;0.0;1.0;25.56;2.5;0.0
2;2023-08-01T00:46:39.000;2023-08-01T01:05:32.000;5;5.18;1;N;249;263;1;24.0;1.0;0.5;5.8;0.0;1.0;34.8;2.5;0.0
2;2023-07-31T23:59:15.000;2023-08-01T00:19:11.000;1;8.24;1;N;138;37;1;34.5;6.0;0.5;8.75;0.0;1.0;52.5;0.0;1.75
1;2023-08-01T00:01:53.000;2023-08-01T00:15:54.000;1;4.1;1;N;138;171;2;19.1;7.75;0.5;0.0;0.0;1.0;28.35;0.0;1.75
2;2023-08-01T00:01:31.000;2023-08-01T00:06:27.000;1;1.86;1;N;68;50;1;9.3;1.0;0.5;2.0;0.0;1.0;16.3;2.5;0.0
2;2023-08-01T00:08:00.000;2023-08-01T00:28:16.000;1;4.43;1;N;50;148;1;23.3;1.0;0.5;7.08;0.0;1.0;35.38;2.5;0.0
1;2023-08-01T00:48:45.000;2023-08-01T00:55:22.000;1;2.8;1;N;263;137;2;12.8;3.5;0.5;0.0;0.0;1.0;17.8;2.5;0.0
2;2023-08-01T00:09:51.000;2023-08-01T00:15:21.000;1;1.07;1;N;162;229;1;7.9;1.0;0.5;3.87;0.0;1.0;16.77;2.5;0.0
2;2023-08-01T00:25:08.000;2023-08-01T00:26:46.000;1;0.5;1;N;233;137;2;4.4;1.0;0.5;0.0;0.0;1.0;9.4;2.5;0.0
2;2023-08-01T00:44:31.000;2023-08-01T01:30:27.000;1;13.65;1;N;162;228;1;59.7;1.0;0.5;6.0;0.0;1.0;70.7;2.5;0.0
2;2023-08-01T00:44:10.000;2023-08-01T00:56:44.000;1;2.46;1;N;48;141;1;14.9;1.0;0.5;3.98;0.0;1.0;23.88;2.5;0.0
2;2023-08-01T00:28:50.000;2023-08-01T01:05:35.000;1;23.82;5;N;132;265;1;120.0;0.0;0.0;28.06;19.3;1.0;168.36;0.0;0.0
2;2023-08-01T00:26:27.000;2023-08-01T00:34:38.000;1;2.22;1;N;249;230;1;12.1;1.0;0.5;2.0;0.0;1.0;19.1;2.5;0.0
2;2023-08-01T00:50:41.000;2023-08-01T01:00:23.000;1;2.82;1;N;246;113;2;14.2;1.0;0.5;0.0;0.0;1.0;19.2;2.5;0.0
2;2023-08-01T00:19:21.000;2023-08-01T00:24:58.000;1;1.65;1;N;68;48;1;9.3;1.0;0.5;2.86;0.0;1.0;17.16;2.5;0.0
2;2023-08-01T00:56:26.000;2023-08-01T01:05:18.000;1;2.07;1;N;263;74;2;12.1;1.0;0.5;0.0;0.0;1.0;17.1;2.5;0.0
